1,7713.133313
2,1071.63763
3,1071.63763
4,838.3000824
5,577.1104035
6,105.2544219
7,105.2544219
8,39.19130482
9,6.535717292
10,2.713461118
11,1.0291838
12,0.699982787
13,0.313484634
14,0.181892043
15,0.036205249
16,0.014726436
17,0.014726436
18,0.006940989
19,0.000924113
20,0.000531483
21,0.000120283
22,6.62E-05
23,6.62E-05
24,1.35E-06
25,1.35E-06
26,1.35E-06
27,3.43E-07
28,3.43E-07
29,1.02E-07
30,3.10E-08
31,1.14E-08
32,1.14E-08
33,3.80E-09
34,2.20E-09
35,2.88E-10
36,3.15E-11
37,3.15E-11
38,1.96E-11
39,5.40E-12
40,5.05E-12
41,6.71E-14
42,6.71E-14
43,6.71E-14
44,6.71E-14
45,3.00E-14
46,1.35E-15
47,1.35E-15
48,1.24E-15
49,3.81E-16
50,3.81E-16
51,1.88E-16
52,5.51E-17
53,5.31E-17
54,6.06E-18
55,2.12E-18
56,2.12E-18
57,1.22E-18
58,1.53E-19
59,1.36E-19
60,1.36E-19
61,8.31E-21
62,1.83E-21
63,1.83E-21
64,1.83E-21
65,8.46E-22
66,8.13E-23
67,8.13E-23
68,8.13E-23
69,1.00E-23
70,3.62E-24
71,1.14E-24
72,4.11E-25
73,4.11E-25
74,2.38E-26
75,6.26E-29
76,6.26E-29
77,1.05E-30
78,1.05E-30
79,1.05E-30
80,1.05E-30
81,1.05E-30
82,1.05E-30
83,1.05E-30
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
